country,cfi_acquiescence,tli_acquiescence,rmsea_acquiescence,bic_acquiescence
USA,0.8102359585750308,0.7947098097311698,0.03846659301446041,109174634.85407142
Canada,0.8130539777618947,0.7977583941242316,0.0379383225075318,9766801.531608164
UK,0.8216983744938258,0.8071100596796842,0.03785937616164809,7920632.229473622
Australia,0.819026091132786,0.8042191349527412,0.03775163548679546,5436681.330589429
Singapore,NA,NA,NA,NA
India,0.7630019970982953,0.7436112514063377,0.03785222773603382,1404141.903007029
Philippin,NA,NA,NA,NA
Netherlan,0.7990660666791318,0.7826260175892426,0.038516753746535105,1005123.528565867
New Zeala,0.8145578562434772,0.7993853172088525,0.03765138486134361,982471.9414355779
Ireland,0.8155248179959709,0.800431394013823,0.037977124181850924,962155.9171798634
Finland,0.807937606760514,0.7922234109500105,0.03895439758938584,649528.7787723255
Sweden,0.8044273428322088,0.7884259436093896,0.04012774142864848,587892.7870989206
China,0.7396185333700058,0.7183145951911882,0.03679691584962307,581329.6443037236
Germany,0.7871266182781201,0.7697097052281481,0.040333608590323776,548688.8955672586
Malaysia,0.7536598025745592,0.7335046955124777,0.03989549384124098,478126.4300288461
South Afr,0.8026676029526844,0.7865222250124495,0.03849938417217679,474002.73965874437
Thailand,0.6416386346822118,0.6123181593380291,0.037956964652991504,428566.71524398844
Hong Kong,0.7663386660685951,0.7472209205651166,0.039221479063829605,422934.4760559994
South Kor,0.7297354262605542,0.7076228702273268,0.039048482973019084,372111.1107386399
Norway,0.8142538652257011,0.799056454198713,0.03938019991751989,369535.83745319245
Mexico,0.7507687294877078,0.7303770800821565,0.03914233605086836,378457.1573771265
France,0.7830764855531644,0.7653281980075142,0.03907967172662207,361127.3953869274
Afghanist,0.79208473506925,0.7750734861203705,0.040785236297211695,344836.4326907968
Romania,0.749635917716182,0.7291515837111424,0.044639769280172284,321452.5885809631
Albania,0.7956969393038,0.7789812343377474,0.04027101369939951,285657.1146463791
Greece,0.7784437489509233,0.7603164193196352,0.03985508661695653,271142.1985081596
Denmark,0.79931391943491,0.7828941492068573,0.0402716103647642,254234.3245394157
