country,cfi_esem,tli_esem,rmsea_esem,bic_esem
USA,0.7063006301327837,0.6800894735542449,0.048019085976719604,110940620.0974728
Canada,0.7068432697995324,0.6806805410173397,0.047671142879248965,9925545.761138907
UK,0.7081597042168757,0.6821144604284504,0.04860198985015213,8064789.685221288
Australia,0.7189800246506659,0.6939004387499244,0.04720434795610887,5523023.454831273
Singapore,0.6970746965202368,0.6700401728687249,0.04663298455745963,1363210.6771227738
India,0.71479458953116,0.6893414750957259,0.041666171865446876,1412330.5808876979
Philippin,0.7334220800217482,0.7096313732044672,0.041039070679735,1140681.301777683
Netherlan,0.7009704011735797,0.6742835491044026,0.047148267942811906,1020536.7793011876
New Zeala,0.7064807402305857,0.6802856575509355,0.04753140550540871,999053.1085208976
Ireland,0.7172654045517095,0.6920327976352716,0.04717676929799278,976974.8848124605
Finland,0.6933443272982949,0.665976887400431,0.04939084379384104,661596.8602328234
Sweden,0.7009592118111594,0.6742713611489974,0.04978992616884172,598187.0405332946
China,0.7309209204515235,0.7069069980204238,0.03753461552222513,582144.0385748433
Germany,0.7112385286514131,0.6854680540916994,0.0471369678508824,555281.3100449838
Malaysia,0.7200187780804111,0.6950318955750017,0.04267821773675606,480449.56456306693
South Afr,0.6990107262776273,0.6721489833138456,0.04771069206635193,481452.02179248136
Thailand,0.7116450445228387,0.6859108494116046,0.03416490469537711,426402.1917722518
Hong Kong,0.7223322190109287,0.6975517991972587,0.04290213506920623,425711.5494987648
South Kor,0.7089216653245298,0.6829444226418219,0.04066307015243692,373259.0485556812
Norway,0.6966347909950922,0.6695610080404208,0.05049943627734639,377091.85432309064
Mexico,0.7047232392141127,0.6783713086176605,0.04275094599210052,380753.668024596
France,0.7002938332192634,0.673546600943637,0.046092583411393974,365469.38678884413
Afghanist,0.7126806937030659,0.6870389249488773,0.04810916499986854,349282.3871861663
Romania,0.7509402019837197,0.7287128973552646,0.044675905608622606,321650.40595111856
Albania,0.6849850418831653,0.6568715788018002,0.05017718961894624,290804.90880780056
Greece,0.6770285246308787,0.648204983350797,0.048284691044385326,275246.7378089827
Denmark,0.7024351042158552,0.6758789693518239,0.049205861315236916,258467.13984618735
