"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",674674.603654702,675513.118599828,679095.133769078,682135.130237523,678856.886214102,677456.106013019,675924.325133371,676801.161915957,676178.358223694,677821.219323904,676911.075811512,676899.586777192,675745.199233213,677460.095182346,676823.813605662,676531.46182925,675721.28419734,675751.921292112,676597.733831717,677147.735164295,676352.372050702,675563.596672634,677121.97141011,675890.44781957,683255.953144985,680425.035317507,673658.013766452
"Albania",562399.993864447,561407.099297408,566553.031234957,569630.485159656,565406.902369814,563653.881327188,562847.627276112,563266.824694507,563043.227101786,563801.619315652,563641.558108865,564074.908222799,563044.302957755,564332.369241178,563778.029671371,563696.065801381,562949.62356934,562767.422617076,563859.58464714,564010.68514686,563606.345994446,562631.49449568,563527.247807161,562954.928007361,568969.371270499,567933.145490589,560966.227515919
"Australia",10657123.4481179,10655568.3848431,10588664.5961758,10587851.1330172,10667648.0822063,10676637.1450532,10633598.1839655,10663628.3366006,10641535.2203293,10704633.0742499,10664025.6145419,10626371.0423615,10616979.1149574,10664197.6757744,10675533.3088512,10621671.9695797,10615435.9739526,10644480.5787995,10631984.0447057,10670705.1941725,10619805.2245926,10644198.4386659,10690477.8738168,10633019.3329552,10824184.3190019,10589189.7117175,10631801.0762422
"Canada",19151648.688035,19148258.9709253,19029731.5308713,19012306.3148966,19184275.3803495,19195537.7036784,19108957.5548913,19168663.8992079,19126286.2184983,19240267.9601744,19164684.3945828,19096039.2795132,19083775.0852248,19183197.2736424,19182058.6217207,19088672.4890143,19080038.7382916,19134687.4273825,19105627.2393462,19171200.7094991,19082869.2460104,19130333.4850887,19209958.5002558,19112822.6020301,19438673.4952079,19024916.5735975,19104106.1863534
"China",1151863.5833632,1151706.71566564,1151883.85649119,1154782.88321699,1146866.539247,1153180.02214349,1149822.345484,1150986.30952386,1150161.85277033,1152842.48703912,1148523.7031054,1148984.51640761,1149702.49135118,1149263.37442147,1150564.86385819,1149834.37207048,1149895.95576798,1151156.67156769,1148995.17162085,1150842.38179059,1148648.36844621,1150676.37084851,1149833.14567284,1149996.00231607,1154564.01248272,1153229.12115381,1149917.40412445
"Denmark",502370.468480031,502292.999352974,506247.162417032,509237.093877173,503947.994059559,500881.694737673,501849.233281425,501872.181413597,501950.64079676,502293.532580541,502968.673520558,503559.172759857,502558.16152226,503046.394791504,502969.522123434,502689.045561606,502484.357590341,501564.728356333,503553.102281544,503154.638019583,503368.107625661,502410.037079685,502950.128852322,501821.235634125,507727.205581483,507500.919601519,501061.334557674
"Finland",1271821.22898588,1271436.42013906,1270894.14757901,1273463.60025198,1273338.45972492,1272432.35778789,1265714.79184621,1270452.82740666,1268785.39864164,1273795.81417562,1271766.86382416,1269918.29668906,1268604.40177567,1273148.53179963,1271712.03102923,1268369.24359238,1268551.76319025,1268910.54029418,1270823.5912111,1272702.60623469,1269214.22658003,1269990.23087575,1273121.84633284,1268322.80345568,1286407.93568286,1272028.32766014,1268505.93616942
"France",711490.212246777,711109.958238885,714302.174663259,717549.030735336,712209.467808296,711250.20436007,710167.220393606,708861.883840433,710312.916786204,711212.169370071,711209.621369546,711491.449621964,710775.60139624,711490.308579433,710989.929023983,711039.943525431,710759.804822586,710558.35123495,711584.912562718,711704.22826964,711127.001739559,710695.412269801,711409.479811927,710287.727019901,717554.52095764,715626.216842067,709511.710293949
"Germany",1076904.4469129,1076840.85107585,1077173.46631366,1080107.13864005,1078180.46332318,1077509.30365682,1074422.35895339,1075781.94877623,1072622.31087888,1078522.40704576,1077304.75348376,1075830.65739871,1074772.55528324,1077719.07217411,1077284.81826012,1074753.2544749,1074796.90187393,1075122.33941431,1076448.547921,1077764.1903842,1075441.63204699,1076083.94853917,1077911.36158932,1074468.87710198,1088141.02863493,1078432.1654637,1074396.26876372
"Greece",534999.971331479,535089.185958276,538768.1720424,541995.899694296,536189.774799088,535323.618745328,534634.381276942,534698.017464755,534905.701354631,533142.448047589,535235.784001036,535713.836055974,535119.984234555,535523.161109913,534930.477895693,535649.93810299,535229.517552335,534839.72534693,535814.048942376,535643.339422056,535693.083636703,534701.616878178,535158.060358795,534769.185805954,538290.40199263,540152.536575516,533660.861045667
"Hong Kong",834836.361673471,834740.818004991,836400.437915686,839338.293096887,833620.534570679,835889.937527036,833505.507914702,834244.826804993,834102.018284942,835431.340524792,831306.156092014,833230.749216245,833502.46893078,833297.741224032,834288.560617122,834233.751628482,833686.369007618,834523.358478451,833260.240062526,834866.467829603,832654.792056864,834066.254754525,834113.249704844,833690.525855363,838088.10743844,837837.649829549,832842.500245384
"India",2760270.45113774,2760199.22490209,2751591.37899497,2753698.99607583,2757949.66717667,2764916.38815912,2755735.46511836,2761056.60382182,2757344.05625821,2765783.94168532,2756982.14596013,2747507.80789669,2752901.97832664,2756649.68035679,2760070.65775006,2754414.54414289,2753200.52771492,2759303.77345737,2752221.30155751,2758719.53478675,2750655.19992889,2756654.43837953,2761523.4238197,2756375.95025269,2778710.31661128,2752353.59554111,2756005.67296154
"Ireland",1890908.93312564,1890261.61388074,1887238.48709177,1890315.17528275,1894636.17822334,1893815.19719189,1887993.69443941,1891690.01056763,1889006.81499522,1896985.58247843,1892188.24799193,1888506.19544165,1884382.3892139,1893134.33927825,1893761.00757452,1887769.80271622,1886138.69744566,1888933.14158434,1888758.97594134,1893574.35611146,1887117.93244182,1888406.50533753,1895834.29062455,1888078.15417206,1917558.3211159,1888234.32841949,1886147.2052296
