"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.940365047872696,0.932188036616283,0.97589594698634,0.983953552682418,0.915413712376838,0.908656841860615,0.942048205732979,0.918808482605087,0.937392422544988,0.893116967157963,0.924403893746581,0.950166748741914,0.953965621340131,0.917992809025227,0.920047822092343,0.951230760843616,0.954385241374525,0.934835854701549,0.948820993324937,0.92593217596415,0.955293714909616,0.939240828262243,0.910661315495169,0.941486696831369,0.838786160506583,0.979596263845371,0.946387985826181
"Albania",0.930323056068762,0.941911065638145,0.974810386193054,0.983128076666476,0.91301636582043,0.909490596613947,0.941452727480611,0.918705030517522,0.936478880846021,0.893297988672876,0.922257323542973,0.94792559303792,0.951368082510593,0.912720569903563,0.914409194298945,0.949439879633146,0.952715670323857,0.931756843722727,0.94537757276417,0.922454547042143,0.953313852335385,0.936481308345362,0.909543348013162,0.939119571438564,0.829609021605059,0.978259654192515,0.942790248755511
"Australia",0.942097297667695,0.942990512725087,0.988633204290689,0.992321882838459,0.937290545999904,0.930319501361968,0.956956758619789,0.93821675199019,0.952150554965171,0.913002874743871,0.938559998658046,0.962668215478186,0.967499994982585,0.938361517814088,0.931420686689844,0.965187087496721,0.968413622610853,0.949863815526127,0.959038258918118,0.935004457018892,0.966474809060382,0.950252083607828,0.922168244985116,0.957216752598085,0.843306835660938,0.989749801790298,0.956497695890376
"Canada",0.940614424452156,0.941745767093898,0.985670679153339,0.993491031505247,0.930464658122227,0.925614692202703,0.955671009532535,0.934841527855945,0.949735917216461,0.909960617657254,0.936529389200307,0.960932862193821,0.964665059561154,0.930253674387676,0.930421524655293,0.96327547440885,0.965929530322383,0.946563538864753,0.95748937126169,0.934542671829,0.965347790795238,0.94816267767374,0.920709478586939,0.954326473870149,0.843235191013097,0.988158362897335,0.956378383242455
"China",0.884993975118411,0.886205575422745,0.95975931296921,0.970912787956413,0.942078180829798,0.868995289994608,0.915493274612621,0.891354909301603,0.910476875082128,0.860297954172737,0.918678603301165,0.93941631130262,0.926312960692544,0.911295753746007,0.896337267204388,0.929818527777446,0.924851169366475,0.895629148848521,0.935247089720651,0.902622718988475,0.942151766121393,0.902207523372237,0.896286589154584,0.913164962355916,0.84359548948503,0.964152383617156,0.897944547180105
"Denmark",0.918971576687751,0.919778228266247,0.967867110529788,0.977051859253951,0.918273908506636,0.931271792844103,0.942509690082065,0.923754651791324,0.938484635946067,0.898697611975809,0.918390583070668,0.943004872479847,0.946390894083972,0.916002217148528,0.91190785988489,0.95075994196313,0.947546556882861,0.935001818533445,0.937792224822354,0.920811006031013,0.945225821409774,0.92771360248451,0.904019649005814,0.941753264896465,0.828363510966431,0.972779011092046,0.930613809380748
"Finland",0.927870365477132,0.929686482137819,0.976369267169306,0.984759736897144,0.928997134269385,0.922052113252599,0.965535065681959,0.933939837036567,0.949223808012347,0.908580490972526,0.931243269521089,0.954770741230763,0.957109575839512,0.923823385275936,0.928584511370316,0.96097654435499,0.957474884811016,0.944861068602332,0.947938024420467,0.928795595843618,0.958152865105058,0.941028941544455,0.917991731840903,0.952242663427347,0.845502889344302,0.980089013930326,0.942025666761036
"France",0.915952007705921,0.919751235709939,0.971700575032755,0.978618849429379,0.92505016072047,0.912990879468377,0.944540824802968,0.941924516027467,0.94061945409474,0.900286374260459,0.924854861944893,0.949856938053733,0.949340818383482,0.920707766786768,0.921476573498292,0.951843177253805,0.949711189737861,0.93083971235698,0.944270354326382,0.923870070623991,0.953492511304733,0.932247077118625,0.910031928786817,0.942327974453771,0.832274507385911,0.975915608972944,0.932369811320136
"Germany",0.926021811264528,0.926323192475222,0.977705460673695,0.98527745968201,0.92863286516294,0.918909232642975,0.9505225943046,0.932090791825469,0.959989105527031,0.904497464571554,0.927348121258917,0.953886018531388,0.955360208425384,0.924040500896016,0.923917638797401,0.95877017146569,0.955341617620319,0.940187210183612,0.947213738233387,0.927144060238152,0.956172947163405,0.936096188408002,0.915633100547421,0.94963231410303,0.844338413331473,0.981288541749995,0.938769202941871
"Greece",0.911061585969101,0.909693369578327,0.965882667422414,0.972911415946997,0.915642980341888,0.899956371622402,0.934457421278823,0.913572060227277,0.927820906169574,0.912956551047701,0.915345275944114,0.943601157331392,0.941724397758351,0.909948604271773,0.912422014724979,0.941119895439916,0.940511586762919,0.919717603095101,0.936521057692338,0.915013334503246,0.943708386007655,0.925080426542062,0.900551201486412,0.931450259350006,0.840975081032634,0.969565703338884,0.923977949710561
