"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.0269945852828525,0.0240289379837414,0.0160258247876993,0.0139377696342606,0.0273820591416105,0.0277148354358075,0.0226186900432855,0.0262585924214807,0.0234405299441875,0.029531783534065,0.025556582620528,0.0214813201616418,0.020439132674957,0.0265787057863212,0.0261062414486342,0.0211777111872828,0.0203510657353004,0.0237062521140264,0.0216413677653581,0.0254233335693923,0.0203427055943703,0.0229688160690965,0.0273672548743779,0.0227011780986066,0.0361731898146459,0.0151515425390055,0.0212669527260381
"Albania",0.023866531624855,0.0260876839899175,0.016050134918383,0.0140016336760156,0.0272036686013005,0.0270279883658022,0.0222730616568205,0.0257418958560221,0.0231315974792166,0.0289077423088367,0.0253907418800099,0.0215132538884654,0.0205813849755726,0.0268631162908628,0.0264627721808903,0.0211252890661701,0.0202995151231911,0.023767345481384,0.0219036683999391,0.0254852237423364,0.020366247700693,0.0230078500921349,0.0269789034849035,0.0226857174266227,0.0364335529000878,0.015322435556532,0.0215229508074067
"Australia",0.0221575408318333,0.0219823917330494,0.0118103256090812,0.00961947035153367,0.0235235352023054,0.0241518206948521,0.0194494107507282,0.022854484996653,0.0204461897536894,0.026583227090053,0.0229878647538476,0.0185507165694728,0.0171349559422526,0.0229907843495849,0.0241238003394721,0.017852381894787,0.0168967949866325,0.0207469444967412,0.0193173674669672,0.0237618061705283,0.017576403352924,0.0207367214312989,0.0254864783531915,0.0193676942011322,0.0355820225280077,0.0107148992036033,0.019113943240928
"Canada",0.022165861760415,0.0219501308126295,0.0121781160577638,0.00935108357352706,0.0244686985533692,0.0246495971875878,0.0194970936632993,0.0231842745497178,0.0207002127489987,0.0267142814652083,0.0230797636728096,0.0187455896384027,0.0176488110466835,0.0241579723538829,0.024002617635214,0.0181124033078082,0.0173346660147399,0.0211577432828976,0.0194392495479194,0.023555308231845,0.0176515089749657,0.0209096093550339,0.0254105490386316,0.0197672070274365,0.0351561968199101,0.0113762682887481,0.0189067566542572
"China",0.0250823427388969,0.0249458052299369,0.0165944806385752,0.0150387071133094,0.0210705849885381,0.0265994934230374,0.0218894707116839,0.0243431505300594,0.0224634889865489,0.0270577882146819,0.021242767677648,0.0189816880041141,0.0207239478870702,0.0221531600247837,0.0238229832813389,0.020359770879527,0.0209339507490831,0.0240438371431634,0.0195085074240945,0.0233615762764638,0.0185449254772776,0.023352911203517,0.0236311325835484,0.0221627784284599,0.0285539307124104,0.016094880618449,0.0235151594988669
"Denmark",0.0262438065255865,0.0261085943916635,0.0184844355356829,0.0166507399011758,0.0268876246053036,0.0285685806340217,0.0225054281902634,0.0254201868706518,0.0232114208057602,0.0287211009382506,0.0265264512917,0.0229496555180754,0.0220341626805902,0.0268718596583691,0.0273749749916448,0.0212579440056474,0.0218010502867854,0.0236518491073105,0.0238351046630705,0.0262606858884232,0.0224940837902196,0.025027468756728,0.0283373070910168,0.0226262630147728,0.037286052541441,0.0174827561011952,0.0241694448850252
"Finland",0.0246627961606211,0.0243463630807181,0.0157887305193157,0.0135155377871771,0.0249624566948094,0.0254747381911271,0.0191124620364793,0.0235678083297525,0.021004739698582,0.0271761542164495,0.0242517978386532,0.020363121652111,0.0196306533659108,0.0254889508606905,0.0245504055725854,0.0188496008192428,0.0195519680924216,0.0216980638881369,0.0217186269188867,0.024803010371082,0.0195835107481214,0.02251569789643,0.0260899678814768,0.0204067761811384,0.035235390703873,0.0148929814377277,0.0220052014649433
"France",0.0249923111840328,0.0244169356222522,0.016220144652725,0.0150283027332291,0.0240764271037,0.0252666256756106,0.0206686101251312,0.0237801782834924,0.0213238998134073,0.0266442261014878,0.0238009380773598,0.0201278480861357,0.0200281561583347,0.0244125840040694,0.0241668132773946,0.0196573743423225,0.0199600080135216,0.0228127429375836,0.0210946577807425,0.0240760912286777,0.0193810111339734,0.022656210416205,0.0256534765787893,0.0210520433102908,0.0344647989082861,0.0153766029055943,0.0223118235922608
"Germany",0.0244926463301671,0.0244387223568645,0.0150385611296127,0.0130264744421343,0.0245412643341629,0.0254795455951396,0.0203924378032822,0.0234321493762299,0.021121539994194,0.0272379503318431,0.0244460205414163,0.02016273061315,0.0196387607668615,0.0249591958303639,0.0248486542376761,0.0189995570566648,0.0196479679595948,0.0221608930362713,0.0214452401205989,0.0246026487118607,0.0196529268051214,0.0229841130764134,0.025949511418872,0.0205508016649742,0.0346823130390441,0.0141575302483561,0.0221763895059438
"Greece",0.0259519257606649,0.0261465234934568,0.0179777610576648,0.0170753534954989,0.025783950080159,0.0273490172985027,0.0226813282620272,0.025545588355211,0.0237318942842713,0.0286864820279041,0.0255006577313537,0.0215481092510504,0.0216839012690973,0.0262618793627135,0.0257631755159947,0.0219413342541413,0.0219140866777465,0.0248108377290527,0.0227261744527496,0.0256782731084599,0.0215238020275142,0.0240493338748261,0.0272260066704767,0.0231684357243703,0.0338759087373102,0.0174484298166311,0.0238790315313796
