"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.901465571176102,0.921118048458824,0.96491275463455,0.973460358154381,0.897566809085927,0.895061922909862,0.930105437319842,0.905799896945129,0.92493398773656,0.880851701094122,0.910769350529111,0.936957935155434,0.942926642883927,0.903489147262258,0.906889814017179,0.938727368013975,0.943417411989943,0.923222442668162,0.936015039807398,0.911697401299721,0.943463890268271,0.927924823690383,0.897677541327479,0.929594711050889,0.821235158567635,0.968636668214414,0.938209881969158
"Albania",0.918922200184316,0.907249754748858,0.963332549932397,0.972095081630447,0.894663645176029,0.896019768274108,0.929387242265466,0.905679869661213,0.923838658142836,0.881053495569764,0.908235624086101,0.934122738180501,0.939706217941593,0.897284468289342,0.900323217630805,0.936477343054841,0.941346401339879,0.919594697059451,0.931710010424825,0.907551421920337,0.940960132071316,0.924651360954625,0.896397097339425,0.926746501528707,0.811058924407536,0.966582116455233,0.934063337548724
"Australia",0.932622996308237,0.933683978634265,0.980838811588846,0.987300959802315,0.924059446818066,0.919948711138287,0.948086360902921,0.928317778552155,0.942628876985948,0.903019598075135,0.927478656045371,0.952773043677224,0.959706540054811,0.927460233590339,0.920134350508153,0.956261799177651,0.96081884389185,0.940928653936724,0.948788858111603,0.922513244801284,0.957603637387731,0.940986854454211,0.91085679646996,0.948521674005785,0.826247989846109,0.984244044086701,0.949861751195687
"Canada",0.930897488687809,0.932236034058395,0.979141416749203,0.987713218635177,0.915793361430241,0.914543668918311,0.946535643253767,0.924401772650544,0.939733744571877,0.899628229519562,0.925081805073598,0.950577717233147,0.956191791155867,0.917918449831548,0.91897075290145,0.953860089262571,0.957737464645902,0.937040209157482,0.94685240952696,0.921962711113551,0.95617839643606,0.938508310116382,0.909186024560594,0.945043987770958,0.826168545400453,0.981797784948756,0.949724238313338
"China",0.866176170525661,0.867629163981493,0.941423342426129,0.951891893909843,0.907637711991264,0.849497404756476,0.898078037286167,0.873947684825064,0.892662449720637,0.84426657186469,0.904011444465253,0.923357984178013,0.908642913586519,0.895607661405388,0.879277130621323,0.911825495043281,0.906782027323945,0.877028403098753,0.919044689302302,0.883908200630775,0.926844422618977,0.883994304183049,0.881213706538937,0.895516992116825,0.826568068787562,0.944897313030462,0.882376766241477
"Denmark",0.905713340539527,0.906682396516944,0.953225518691679,0.962045465618071,0.90103047943307,0.890742600648701,0.93066202486249,0.911538546277227,0.926243543350952,0.887072747776312,0.903671476793613,0.92789773024559,0.933535506817079,0.901146502462583,0.897410229909984,0.938135841213576,0.934934401692777,0.923417984212672,0.922226665248049,0.905592015872672,0.930731910178141,0.91425072632321,0.890070627831491,0.929915455234372,0.809677817720192,0.958157618772273,0.920029475218489
"Finland",0.916068189293794,0.918208126826984,0.965601746705167,0.974793727460183,0.91401620398294,0.910450858990114,0.949983086393178,0.923355612031376,0.939119729505988,0.898089727641504,0.918842278786671,0.942782263002773,0.946824513195713,0.910350909983548,0.91683141594912,0.95097176257164,0.947249943980308,0.935034328353243,0.934911135416238,0.915111129457911,0.947079606243378,0.93004596155963,0.906073302108445,0.942536672880226,0.828683123143083,0.969394092456948,0.93318212440255
"France",0.902199696059367,0.906650997551151,0.958805730017098,0.964637151940181,0.909236456503418,0.900041010362705,0.933111738022499,0.913106097018428,0.928803174179084,0.888843827044446,0.911301655527613,0.936566005971589,0.937192818763338,0.906684268148595,0.908553700012691,0.939496794930876,0.937619509160585,0.918514116539412,0.930325745034209,0.909238988855451,0.941186066368366,0.919628531421661,0.896956684558529,0.930606966228501,0.814014595858891,0.962978998507389,0.922053341860496
"Germany",0.913917166301945,0.914295795743416,0.967546786791067,0.975650002809718,0.913575077554849,0.90684021256168,0.940326237049804,0.921210310957726,0.936847197458269,0.893538157227306,0.914244600064253,0.941663035491515,0.944655649966529,0.91060642432793,0.91139649992064,0.948199722728318,0.944603743886219,0.92952750506782,0.93400561915363,0.913142192369411,0.94457577802811,0.924194514908313,0.903371886093773,0.939395807666942,0.827391873145941,0.971237930698592,0.929428911865207
"Greece",0.896509081456874,0.894951231474301,0.950336849214278,0.955197477382802,0.897844450414022,0.885066531517932,0.920950335799121,0.899724489766454,0.913457811931278,0.87582752163465,0.900076916885596,0.928652066503568,0.927749991317003,0.894022257211218,0.898009001000873,0.926024292352807,0.926207909917867,0.905409849191257,0.920637428107738,0.898680114936246,0.928812942985239,0.911127138313727,0.886098103723609,0.917518512261383,0.823662382135892,0.953218325476777,0.912381365768104
