"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.931,0.921,0.965,0.973,0.898,0.895,0.93,0.906,0.925,0.881,0.911,0.937,0.943,0.903,0.907,0.939,0.943,0.923,0.936,0.912,0.943,0.928,0.898,0.93,0.821,0.969,0.938
"Albania",0.919,0.932,0.963,0.972,0.895,0.896,0.929,0.906,0.924,0.881,0.908,0.934,0.94,0.897,0.9,0.936,0.941,0.92,0.932,0.908,0.941,0.925,0.896,0.927,0.811,0.967,0.934
"Australia",0.933,0.934,0.983,0.987,0.924,0.92,0.948,0.928,0.943,0.903,0.927,0.953,0.96,0.927,0.92,0.956,0.961,0.941,0.949,0.923,0.958,0.941,0.911,0.949,0.826,0.984,0.95
"Canada",0.931,0.932,0.979,0.989,0.916,0.915,0.947,0.924,0.94,0.9,0.925,0.951,0.956,0.918,0.919,0.954,0.958,0.937,0.947,0.922,0.956,0.939,0.909,0.945,0.826,0.982,0.95
"China",0.866,0.868,0.941,0.952,0.93,0.849,0.898,0.874,0.893,0.844,0.904,0.923,0.909,0.896,0.879,0.912,0.907,0.877,0.919,0.884,0.927,0.884,0.881,0.896,0.827,0.945,0.882
"Denmark",0.906,0.907,0.953,0.962,0.901,0.921,0.931,0.912,0.926,0.887,0.904,0.928,0.934,0.901,0.897,0.938,0.935,0.923,0.922,0.906,0.931,0.914,0.89,0.93,0.81,0.958,0.92
"Finland",0.916,0.918,0.966,0.975,0.914,0.91,0.958,0.923,0.939,0.898,0.919,0.943,0.947,0.91,0.917,0.951,0.947,0.935,0.935,0.915,0.947,0.93,0.906,0.943,0.829,0.969,0.933
"France",0.902,0.907,0.959,0.965,0.909,0.9,0.933,0.933,0.929,0.889,0.911,0.937,0.937,0.907,0.909,0.939,0.938,0.919,0.93,0.909,0.941,0.92,0.897,0.931,0.814,0.963,0.922
"Germany",0.914,0.914,0.968,0.976,0.914,0.907,0.94,0.921,0.952,0.894,0.914,0.942,0.945,0.911,0.911,0.948,0.945,0.93,0.934,0.913,0.945,0.924,0.903,0.939,0.827,0.971,0.929
"Greece",0.897,0.895,0.95,0.955,0.898,0.885,0.921,0.9,0.913,0.903,0.9,0.929,0.928,0.894,0.898,0.926,0.926,0.905,0.921,0.899,0.929,0.911,0.886,0.918,0.824,0.953,0.912
"Hong Kong",0.888,0.889,0.951,0.961,0.915,0.873,0.915,0.893,0.906,0.868,0.931,0.936,0.925,0.908,0.894,0.922,0.923,0.896,0.931,0.896,0.942,0.903,0.89,0.912,0.84,0.953,0.906
"India",0.904,0.904,0.963,0.971,0.916,0.886,0.923,0.901,0.917,0.881,0.917,0.96,0.937,0.918,0.904,0.933,0.936,0.908,0.941,0.911,0.948,0.918,0.898,0.921,0.837,0.967,0.918
"Ireland",0.93,0.932,0.977,0.981,0.919,0.917,0.946,0.926,0.941,0.902,0.926,0.95,0.965,0.922,0.918,0.952,0.957,0.939,0.947,0.922,0.956,0.942,0.909,0.945,0.824,0.98,0.947
"Malaysia",0.888,0.891,0.948,0.958,0.906,0.869,0.911,0.887,0.903,0.862,0.91,0.936,0.923,0.927,0.89,0.921,0.923,0.896,0.934,0.9,0.94,0.904,0.887,0.905,0.839,0.952,0.907
"Mexico",0.895,0.897,0.949,0.959,0.897,0.88,0.919,0.898,0.913,0.878,0.905,0.931,0.926,0.895,0.922,0.924,0.928,0.904,0.925,0.905,0.932,0.908,0.889,0.912,0.819,0.953,0.916
"Netherlan",0.92,0.922,0.97,0.979,0.918,0.915,0.946,0.924,0.94,0.898,0.919,0.946,0.95,0.918,0.917,0.965,0.95,0.937,0.939,0.919,0.949,0.932,0.91,0.944,0.83,0.975,0.936
"New Zeala",0.926,0.93,0.977,0.982,0.912,0.914,0.945,0.921,0.938,0.897,0.922,0.947,0.954,0.915,0.912,0.951,0.961,0.936,0.943,0.914,0.953,0.937,0.904,0.942,0.816,0.979,0.945
"Norway",0.918,0.92,0.966,0.973,0.908,0.916,0.945,0.921,0.936,0.897,0.916,0.939,0.947,0.908,0.911,0.95,0.947,0.947,0.934,0.915,0.944,0.93,0.903,0.943,0.825,0.969,0.933
"Philippin",0.901,0.9,0.959,0.966,0.904,0.878,0.918,0.893,0.908,0.87,0.908,0.942,0.931,0.914,0.898,0.927,0.93,0.904,0.952,0.902,0.944,0.91,0.89,0.913,0.831,0.961,0.917
"Romania",0.891,0.894,0.942,0.952,0.899,0.886,0.914,0.896,0.906,0.875,0.903,0.926,0.92,0.901,0.896,0.918,0.921,0.902,0.922,0.933,0.927,0.905,0.884,0.912,0.819,0.944,0.907
"Singapore",0.912,0.912,0.967,0.975,0.916,0.896,0.933,0.911,0.925,0.89,0.925,0.949,0.942,0.921,0.911,0.941,0.943,0.918,0.946,0.913,0.962,0.927,0.902,0.93,0.835,0.971,0.929
"South Afr",0.923,0.927,0.971,0.978,0.914,0.911,0.939,0.919,0.935,0.898,0.921,0.948,0.949,0.917,0.913,0.947,0.95,0.931,0.943,0.917,0.953,0.946,0.904,0.938,0.822,0.974,0.94
"South Kor",0.873,0.869,0.935,0.948,0.89,0.86,0.899,0.876,0.892,0.844,0.893,0.919,0.908,0.885,0.879,0.908,0.905,0.883,0.912,0.877,0.917,0.888,0.905,0.892,0.818,0.943,0.89
"Sweden",0.921,0.921,0.97,0.978,0.918,0.915,0.945,0.921,0.938,0.9,0.92,0.944,0.948,0.915,0.915,0.951,0.949,0.939,0.936,0.918,0.945,0.93,0.906,0.955,0.826,0.975,0.935
"Thailand",0.801,0.8,0.895,0.908,0.835,0.773,0.832,0.794,0.824,0.76,0.835,0.873,0.85,0.83,0.809,0.85,0.851,0.807,0.868,0.818,0.871,0.818,0.811,0.82,0.834,0.898,0.817
"UK",0.931,0.934,0.981,0.987,0.921,0.919,0.95,0.927,0.944,0.904,0.928,0.952,0.961,0.922,0.92,0.956,0.961,0.942,0.948,0.921,0.958,0.942,0.91,0.949,0.825,0.987,0.949
"USA",0.933,0.934,0.979,0.987,0.907,0.913,0.946,0.923,0.939,0.898,0.922,0.95,0.956,0.911,0.918,0.953,0.958,0.937,0.947,0.921,0.957,0.94,0.909,0.944,0.825,0.981,0.952
