country,origin_in_favor,prop_origin,country_comp,bf_origin,bf_e_power
Afghanist,24,0.9230769230769231,USA,5.6085888719152174e-247,-567.0142188196187
Albania,25,0.9615384615384616,USA,3.6167360158495375e-192,-440.810765888833
Australia,26,1,UK,10158583300239726e20,82.90879724826664
Canada,26,1,UK,Inf,1667.9001270877197
China,25,0.9615384615384616,Hong Kong,1.2472138195492659e-20,-45.83078974072123
Denmark,24,0.9230769230769231,USA,4.2224869097144004e-55,-125.20175584510434
Finland,26,1,USA,1389171197488.5002,27.959728424437344
France,24,0.9230769230769231,USA,1.4787091694369034e-80,-183.81563791513327
Germany,25,0.9615384615384616,USA,2.235094944281717e-116,-266.2955870794831
Greece,26,1,USA,25026141743720617e43,136.76985634193989
Hong Kong,25,0.9615384615384616,USA,4.727497753055951e-19,-42.19572072062874
India,26,1,Singapore,36890914901037355e159,404.25777149305213
Ireland,25,0.9615384615384616,USA,1.534412093438794e-258,-593.6388066858053
Malaysia,25,0.9615384615384616,USA,3.707479765170284e-64,-146.05509361441364
Mexico,24,0.9230769230769231,USA,3.8714622254440785e-176,-403.90134409524035
Netherlan,25,0.9615384615384616,USA,7.590616713838936e-13,-27.906693367345724
New Zeala,25,0.9615384615384616,USA,3.5477481312976543e-296,-680.298874453234
Norway,25,0.9615384615384616,USA,4.3864617190464874e-89,-203.45155036091455
Philippin,26,1,USA,2014089489603314e117,304.64139950228855
Romania,24,0.9230769230769231,USA,9.48588416147754e-117,-267.1526510644471
Singapore,26,1,Philippin,7076200279664845e274,667.4038289552554
South Afr,25,0.9615384615384616,USA,4.0846647987114236e-249,-571.9364484871912
South Kor,26,1,USA,2207170567026922e21,83.6847747566353
Sweden,24,0.9230769230769231,USA,3.136753764806154e-134,-307.40321402892005
Thailand,26,1,USA,11835057446225145e193,481.4087654396426
UK,26,1,Canada,7140929493776844e289,701.9517112192698
USA,18,0.6923076923076923,Canada,0,-274642.68906833977
